assists,faceoffWinPctg,gameWinningGoals,gamesPlayed,goals,otGoals,penaltyMinutes,playerFirstName,playerId,playerLastName,playerName,playerPositionCode,playerTeamsPlayedFor,plusMinus,points,pointsPerGame,ppGoals,ppPoints,seasonId,shGoals,shPoints,shiftsPerGame,shootingPctg,shots,timeOnIcePerGame
8,0.0,0,70,1,0,14,Jason,8474520,Garrison,Jason Garrison,D,TBL,-8,9,0.1285,0,0,20162017,0,0,24.0714,0.0104,96,1113.8428
19,0.6225,1,72,9,0,42,Antoine,8468535,Vermette,Antoine Vermette,C,ANA,-7,28,0.3888,5,11,20162017,0,0,24.2916,0.1022,88,954.2083
28,0.0,3,72,9,0,10,John,8474590,Carlson,John Carlson,D,WSH,7,37,0.5138,3,16,20162017,0,1,26.6111,0.05,180,1362.5833
0,0.0,0,4,0,0,0,Clarke,8470667,MacArthur,Clarke MacArthur,L,OTT,-1,0,0.0,0,0,20162017,0,0,17.25,0.0,5,809.25
12,0.0,0,68,0,0,24,Marc,8470760,Methot,Marc Methot,D,OTT,13,12,0.1764,0,0,20162017,0,0,27.6176,0.0,69,1189.3676
46,0.5101,4,82,26,1,22,Tyler,8475794,Seguin,Tyler Seguin,C,DAL,-15,72,0.878,11,29,20162017,0,0,24.2682,0.0863,301,1107.6341
4,0.3333,0,46,4,0,44,Jordan,8475325,Nolan,Jordan Nolan,C,LAK,-3,8,0.1739,0,0,20162017,0,0,14.8913,0.1025,39,651.3478
0,0.4615,0,2,0,0,2,Vladislav,8477973,Kamenev,Vladislav Kamenev,L,NSH,-1,0,0.0,0,0,20162017,0,0,13.5,0.0,1,603.5
58,0.5029,3,74,15,0,49,Ryan,8470612,Getzlaf,Ryan Getzlaf,C,ANA,7,73,0.9864,6,20,20162017,2,3,26.6621,0.1086,138,1264.2297
6,0.0,1,80,7,0,104,Ryan,8471817,Reaves,Ryan Reaves,R,STL,4,13,0.1625,0,0,20162017,0,0,13.475,0.1206,58,533.1
3,0.0,0,51,0,0,87,Jared,8471766,Boll,Jared Boll,R,ANA,-3,3,0.0588,0,0,20162017,0,0,9.7058,0.0,13,348.8823
0,0.0,0,5,0,0,0,Griffen,8479969,Molino,Griffen Molino,C,VAN,-2,0,0.0,0,0,20162017,0,0,15.0,0.0,3,635.2
4,0.0,2,40,2,0,65,Eric,8473468,Gryba,Eric Gryba,D,EDM,-5,6,0.15,0,0,20162017,0,0,21.7,0.0444,45,968.375
13,0.0,0,48,4,0,24,Nikita,8476300,Nesterov,Nikita Nesterov,D,"TBL, MTL",0,17,0.3541,1,2,20162017,0,0,19.9791,0.0634,63,977.1041
39,0.4314,6,62,33,1,77,Evgeni,8471215,Malkin,Evgeni Malkin,C,PIT,18,72,1.1612,11,23,20162017,0,0,22.8387,0.1727,191,1117.1451
0,0.0,0,3,0,0,0,Brendan,8478425,Guhle,Brendan Guhle,D,BUF,1,0,0.0,0,0,20162017,0,0,23.6666,0.0,4,981.0
0,0.5,0,1,0,0,0,Jakob,8478417,Forsbacka Karlsson,Jakob Forsbacka Karlsson,C,BOS,0,0,0.0,0,0,20162017,0,0,13.0,0.0,0,505.0
22,0.0,2,75,6,1,35,Marc-Edouard,8471709,Vlasic,Marc-Edouard Vlasic,D,SJS,4,28,0.3733,1,7,20162017,0,1,26.4266,0.0416,144,1274.0666
11,0.5,0,61,6,0,10,Joonas,8475820,Donskoi,Joonas Donskoi,R,SJS,-5,17,0.2786,1,4,20162017,0,0,19.7377,0.0631,95,828.6557
3,0.0,0,53,1,0,63,Chris,8467493,Neil,Chris Neil,R,OTT,-11,4,0.0754,0,0,20162017,0,0,11.6226,0.0238,42,454.283
3,0.0,0,21,0,0,12,Brett,8476967,Kulak,Brett Kulak,D,CGY,-3,3,0.1428,0,0,20162017,0,0,19.7619,0.0,19,854.5238
0,0.5,0,9,0,0,4,Jacob,8477455,De La Rose,Jacob De La Rose,L,MTL,-3,0,0.0,0,0,20162017,0,0,17.3333,0.0,4,654.4444
8,0.0,0,34,2,0,8,Chad,8477244,Ruhwedel,Chad Ruhwedel,D,PIT,9,10,0.2941,0,3,20162017,0,0,23.7058,0.0444,45,1040.1764
30,0.4696,7,79,25,2,38,Brayden,8475170,Schenn,Brayden Schenn,C,PHI,-13,55,0.6962,17,28,20162017,0,0,22.367,0.1404,178,1068.405
6,0.0,1,51,3,0,63,Brendan,8474090,Smith,Brendan Smith,D,"DET, NYR",1,9,0.1764,1,3,20162017,0,0,25.8627,0.0483,62,1154.5098
