Season,Assists,FaceoffWinPctg,GameWinningGoals,GamesPlayed,Goals,OTGoals,PenaltyMinutes,PlayerFirstName,PlayerId,PlayerLastName,PlayerName,PlayerPositionCode,PlusMinus,Points,PPGoals,PPPoints,SHGoals,SHPoints,ShiftsPerGame,ShootingPctg,Shots,TeamAbbrev,TimeOnIcePerGame
20112012,6,0.00,1,66,5,1,28,Marc,8471686,Staal,Marc Staal,D,-7,11,3,4,0,1,25.50,0.0549,91,NULL,1291.8181
20112012,9,0.50,0,28,2,0,82,Daniel,8470666,Carcillo,Daniel Carcillo,L,10,11,0,0,0,0,15.8214,0.074,27,NULL,684.00
20112012,28,0.00,0,72,3,0,12,Tomas,8465200,Kaberle,Tomas Kaberle,D,-18,31,1,16,0,0,21.9305,0.0344,87,NULL,1063.1944
20112012,20,0.00,0,79,2,0,62,Luke,8474568,Schenn,Luke Schenn,D,-6,22,0,1,0,1,23.2151,0.0246,81,NULL,962.1139
20112012,14,0.00,0,75,5,0,26,Andrew,8473584,MacDonald,Andrew MacDonald,D,-5,19,1,2,0,0,26.68,0.0704,71,NULL,1402.4933
20112012,2,0.6666,0,15,0,0,2,Rob,8473970,Klinkhammer,Rob Klinkhammer,L,0,2,0,0,0,0,16.60,0.00,26,NULL,686.60
20112012,39,0.4107,8,88,31,1,30,Tyler,8475794,Seguin,Tyler Seguin,C,37,70,5,15,0,0,20.6363,0.1135,273,NULL,1022.5454
20112012,15,0.00,1,87,5,0,20,Chris,8464956,Phillips,Chris Phillips,D,12,20,4,5,0,2,25.1839,0.0526,95,NULL,1158.3678
20112012,0,0.1666,0,3,0,0,0,Gabriel,8475254,Dumont,Gabriel Dumont,C,-1,0,0,0,0,0,11.6666,0.00,1,NULL,513.6666
20112012,38,0.00,3,97,14,1,83,Drew,8474563,Doughty,Drew Doughty,D,9,52,4,19,0,1,29.4329,0.066,212,NULL,1509.402
20112012,8,0.00,1,32,2,0,6,Anton,8470265,Babchuk,Anton Babchuk,D,2,10,1,3,0,0,17.9687,0.0416,48,NULL,869.3437
20112012,0,0.50,0,15,0,0,13,Carter,8475154,Ashton,Carter Ashton,R,-10,0,0,0,0,0,14.3333,0.00,22,NULL,625.00
20112012,2,0.00,0,41,1,0,13,Brendan,8471705,Mikkelson,Brendan Mikkelson,D,-4,3,0,1,0,0,19.878,0.0222,45,NULL,864.0243
20112012,18,0.5429,2,98,8,1,78,Jarret,8468526,Stoll,Jarret Stoll,C,7,26,2,9,0,0,24.5306,0.0481,166,NULL,1005.8877
20112012,0,0.00,0,22,1,0,77,Brandon,8475650,Bollig,Brandon Bollig,L,-2,1,0,0,0,0,9.50,0.05,20,NULL,354.7727
20112012,1,0.00,0,39,1,0,8,Randy,8470905,Jones,Randy Jones,D,4,2,0,0,0,0,19.4102,0.0416,24,NULL,888.8717
20112012,19,0.00,1,106,4,0,92,Bryce,8460626,Salvador,Bryce Salvador,D,27,23,0,1,1,2,25.0943,0.0487,82,NULL,1242.5283
20112012,35,0.25,2,90,10,0,66,Kevin,8474031,Shattenkirk,Kevin Shattenkirk,D,17,45,5,18,0,1,28.5888,0.049,204,NULL,1295.0777
20112012,19,0.00,1,67,3,0,20,Tom,8470104,Gilbert,Tom Gilbert,D,-8,22,2,6,0,0,31.194,0.0416,72,NULL,1443.8805
20112012,0,0.4186,0,10,0,0,10,John,8473562,McCarthy,John McCarthy,C,-2,0,0,0,0,0,15.10,0.00,14,NULL,566.10
20112012,38,0.00,0,93,6,0,42,Matthew,8470640,Carle,Matthew Carle,D,1,44,4,13,0,1,28.8172,0.0397,151,NULL,1397.5591
20112012,25,0.1666,5,66,22,0,38,David,8474102,Perron,David Perron,L,15,47,5,11,1,2,26.2727,0.1692,130,NULL,1087.4696
20112012,11,0.3333,0,67,7,0,22,Michael,8473564,Frolik,Michael Frolik,R,-9,18,0,0,0,1,19.6119,0.0538,130,NULL,788.5373
20112012,24,0.3333,7,85,29,0,97,Alexandre,8470358,Burrows,Alexandre Burrows,R,23,53,3,7,2,2,25.8235,0.1348,215,NULL,1109.7294
20112012,0,0.00,0,6,0,0,0,Mark,8471419,Mancari,Mark Mancari,R,0,0,0,0,0,0,13.00,0.00,5,NULL,498.6666
20112012,20,0.00,1,70,3,0,6,Jared,8474716,Spurgeon,Jared Spurgeon,D,-4,23,2,12,0,0,28.7857,0.0326,92,NULL,1295.9571
